x1,x2,x3,x4,y
0.89698105,0.72562797,0.17540431,0.70169437,-22.10828779
0.88935640,0.49958786,0.53926886,0.50878344,-14.60139663
0.25094624,0.03369313,0.14538002,0.49493242,-11.69993246
0.34696206,0.00625040,0.76056361,0.61302356,-16.05376511
0.12487118,0.12977019,0.38440048,0.28707610,-10.06963343
0.80130271,0.50023109,0.70664456,0.19510284,-15.48708254
0.24770826,0.06044543,0.04218635,0.44132425,-12.68168498
0.74670224,0.75709150,0.36935306,0.20656628,-16.02639977
0.40066503,0.07257425,0.88676825,0.24384229,-17.04923465
0.62607060,0.58675126,0.43880578,0.77885769,-12.74176599
0.95713529,0.59764438,0.76611385,0.77620991,-27.31639636
0.73281243,0.14524998,0.47681272,0.13336573,-13.52764887
0.65511548,0.07239183,0.68715175,0.08151656,-16.67911520
0.21973443,0.83203134,0.48286416,0.08256923,-16.50715856
0.48859419,0.21196510,0.93917791,0.37619173,-17.81799934
0.16713049,0.87655456,0.21723954,0.95980098,-26.56182083
0.21691119,0.16608583,0.24137226,0.77006248,-12.75832422
0.38748784,0.80453226,0.75179548,0.72382744,-19.44155762
0.98562189,0.66693268,0.15678328,0.85653480,-28.90327367
0.03782483,0.66485335,0.16198218,0.25392378,-13.70274694
0.68348638,0.90277010,0.33541983,0.99948256,-29.42709140
0.17034731,0.75695908,0.27652049,0.53123150,-11.56574199
0.85965692,0.91959232,0.20613873,0.09779683,-26.85778644
0.28213837,0.50598691,0.53053084,0.09630162,-7.96677535
0.32607578,0.47236690,0.45319200,0.10588734,-6.70208925
0.94838936,0.89451301,0.85163782,0.55219629,-32.62566022
0.66495539,0.04656628,0.11677747,0.79371778,-19.98949793
0.57776561,0.42877174,0.42582587,0.24900741,-4.02554228
0.73861301,0.48210263,0.70936644,0.50397001,-13.12278233
0.85481080,0.49396462,0.73530997,0.80809201,-23.13942840
